Statement,,,,Result
Don't believe those phony numbers when you hear 4.9 and 5 percent unemployment. The number's probably 28^ 29^ as high as 35. In fact^ I even heard recently 42 percent.,,,,pants-fire
"The Seminole gambling compact offers ""$3 billion in guaranteed revenue^ the largest share for any state in history.""",,,,mostly-true
Obama spent $7 billion to bring electricity to Africa^ failed miserably.,,,,pants-fire
"We bailed out Johnson Controls when ""we saved the auto industry"" and ""now they want to avoid paying taxes.""",,,,mostly-true
My two appointments to the Florida Supreme Court^ Raul Cantero and Kenneth Bell^ have earned reputations as its most consistent conservatives.,,,,mostly-true
I'm self-funding my own campaign.,,,,half-true
While states used to have regulatory power over fishing^ federal law now regulates down to the tenth of the inch the minimum size of fish that anglers can keep.,,,,pants-fire
"Says Hillary Clinton ""believes that all abortions should be legal^ even on the due date of that unborn child.""",,,,FALSE
Not one Republican has the guts to recognize that climate change is real.,,,,FALSE
We’re spending tremendous amounts of money to educate our kids. In the world^ we're No. 1 per pupil by a factor of four.,,,,barely-true
Says President John F. Kennedy released a star Green Bay Packer from military reserve duty so that he could play in the 1961 NFL Championship Game.,,,,TRUE
Making public colleges and universities tuition-free^ that exists in countries all over the world^ used to exist in the United States.,,,,mostly-true
Bioweapon! Zika virus is being spread by GMO mosquitos (sic),,,,pants-fire
People think AIDS is done -- it’s not done.,,,,mostly-true
"Says Milwaukee County Executive Chris Abele ""once proposed a plan to end county funding to homeless shelters.""",,,,FALSE
"Says she ""is 6th in hard dollars raised and has more cash on hand than Governors (John) Kasich and (Chris) Christie combined.""",,,,TRUE
"Says Ruben Kihuen ""only managed in the minority to get one bill passed out of the eight to 10 he introduced"" during the 2015 legislative session.",,,,mostly-true
"Says ""some Planned Parenthood chapters have been selling the body parts of aborted fetuses for profit.""",,,,FALSE
"Says Pat Toomey visited Joe Sestak and other veterans in 2002 ""and then came home and voted against every veterans appropriations bill.""",,,,barely-true
"Ohio’s credit rating is ""as high as you can get^ AA+.""",,,,FALSE
"In Virginia^ ""people are going and getting marriage licenses who are 12 and 13^ and 14 and 15 years old.""",,,,mostly-true
Ted Cruz defended a Chinese company that stole an invention from an American inventor.,,,,mostly-true
Tell me what Madeleine Albright’s position was on the War on Iraq. I wouldn’t be surprised if she supported it.,,,,barely-true
There really isn’t any kind of foreign policy network that is supporting and advising Sen. Sanders.,,,,mostly-true
Owen in MA vs. Owen in RI … Advantage:Rhode Island.,,,,TRUE
Right now we’re the highest taxed country in the world.,,,,FALSE
The American people will not support doing anything about people that are in this country illegally until the law is enforced first.,,,,barely-true
"Regarding the Iraq War^ ""I was the one that said^ ‘Don’t go^ don’t do it^ you’re going to destabilize the Middle East.’ """,,,,barely-true
"Says CNN reported Ben Carson was ""taking a break from campaigning"" and the Cruz campaign ""forwarded that news to our volunteers.""",,,,FALSE
"Says Goldman Sachs CEO said Congress would ""have to cut Social Security^ Medicare and Medicaid and give huge tax breaks to the wealthy and the large corporations.""",,,,half-true
With 320^000 net Ohio manufacturing jobs lost^ (Sen. Rob) Portman calls NAFTA a ‘proven success’.,,,,barely-true
"Gene Green is the NRA’s favorite Democrat in Congress. ... It’s no wonder the congressman has a lifetime A rating from the NRA.""",,,,barely-true
"Says Donald Trump's conversion to pro-life beliefs are akin to Justin Bieber's^ who said in the past that abortion ""was no big deal to him.""",,,,FALSE
"Faced with $1 million in campaign debt^ Scott Walker ""is unloading his campaign security costs onto the backs of Wisconsin taxpayers.""",,,,barely-true
I waited until (the Trans-Pacific Partnership trade agreement) had actually been negotiated before deciding whether to endorse it.,,,,half-true
"Says Bernie Sanders advocated putting ""Iranian troops into Syria to try and resolve the conflict there. Putting them right on the doorstep of Israel.""",,,,mostly-true
"Says a Sanders campaign ad ""never said ... a newspaper endorsed us that did not.""",,,,FALSE
"Americans ""are working longer hours for low wages . . . and yet almost all new income and wealth is going to the top 1 percent.""",,,,half-true
"Arizona is spending ""less on a per-capita basis than every single state in this country in higher education.""",,,,mostly-true
"China is ""practicing how to blow up our satellites.""",,,,TRUE
Says he was endorsed by the Valley News newspaper.,,,,FALSE
We've cut taxes 50 times and look what has happened to our revenues. They've grown.,,,,mostly-true
90 percent of all pain medications are prescribed in the United States.,,,,mostly-true
I am the only candidate that has endorsed Bernie Sanders for President. In PA^ I've got Bernie's back.,,,,TRUE
I’ll be running against a career politician.,,,,mostly-true
Nothing was done. I mean^ $25 million was spent^ but we don’t have that (gun ownership) database.,,,,pants-fire
During eight years under Ronald Reagan^ African-American median income rose by about $5^000.,,,,barely-true
"The 2013 immigration bill ""expanded President Obama’s ability to bring Syrian refugees to this country without mandating any meaningful background checks.""",,,,FALSE
"Says Catherine Cortez Masto ""was happy to line her own pockets with taxpayer dollars when state employees were slammed with frozen salaries.""",,,,barely-true
While our people work longer hours for lower wages^ almost all new income goes to the top 1 percent.,,,,half-true
"As part of legislative fights over abortion rights^ ""Mike Coffman co-sponsored a bill to redefine rape.""",,,,mostly-true
"The debt ""comes up all the time in town meetings ... but it's never asked in the debates. It's really weird. It hasn't been brought up.""",,,,FALSE
"Says Ohio Gov. John Kasich had ""the worst rating on spending of any governor in the country^ Republican or Democrat.""",,,,half-true
This is the true picture of ‘Milwaukee's Renaissance’ after 12 years of Mayor Tom Barrett's leadership.,,,,pants-fire
You've been tremendously deceived by people who say the Earth is not flat.,,,,pants-fire
"When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan^ ""the Democrats didn’t make that a partisan issue.""",,,,half-true
More businesses are closing than opening in Virginia today.,,,,FALSE
Between 1990 and 2013^ the maternal mortality rate for women in the U.S. has increased by 136%.,,,,barely-true
A (state) trooper with 10 years on the force is getting $500 a year more than a trooper with 10 minutes on the force.,,,,FALSE
Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care^ which is they want to put the government in charge of you and your doctor.,,,,FALSE
We have more illegal immigrants here than we did five years ago.,,,,FALSE
It is rare that a retirement grade determination is conducted for an officer previously retired from the U.S. armed forces.,,,,TRUE
Texas is growing twice as fast as the rest of the country.,,,,TRUE
Today Russia holds many of our most precious national security satellites at risk before they ever get off the ground.,,,,mostly-true
"A Texas law requires every high school to have a voter registrar ""and part of their responsibility is to make sure that when children become 18 and become eligible to vote^ that they vote.""",,,,half-true
We now have more jobs in solar than we do in oil.,,,,FALSE
"Says U.S. Sen. Ron Johnson wants to put 100^000 troops^ including 25^000 Americans^ ""into the area where ISIS is.""",,,,half-true
"Obamacare ""is the biggest job-killer in this country -- millions of Americans have lost their jobs^ have been forced into part-time work.""",,,,pants-fire
I have never supported cap and trade.,,,,mostly-true
"When a Gallup poll asked about presidential candidate characteristics^ ""When they get to the question on^ 'Would you vote for a socialist^' it is even less popular than voting for atheists.""",,,,TRUE
"Says Barack Obama's administration has admitted that money from its Iran nuclear deal ""would go directly to terrorism.""",,,,half-true
I never once asked that (Megyn Kelly) be removed as a debate moderator.,,,,FALSE
Last year^ there were an additional 81^000 pages of government regulations. If you stack that up^ it would be a three-story building.,,,,barely-true
On opposing citizenship for illegal immigrants,,,,half-flip
A third of the budget for the city of Ferguson (Missouri) was being reaped by civil fines.,,,,barely-true
"Neighbors of the San Bernardino shooters ""knew that they were talking about trying to take our country and attack it.""",,,,FALSE
I have not insulted Donald personally.,,,,barely-true
Barack Obama^ right now^ No. 1^ over seven years has dramatically degraded our military.,,,,barely-true
"Donald Trump’s decision to skip the Fox News/Google debate in Des Moines ""is near unprecedented.""",,,,half-true
I am the only candidate on either side who has laid out a specific plan about what I would do to defeat ISIS.,,,,FALSE
A lot of student loans are already refinanced by the federal government.,,,,FALSE
When they say Mexico can't pay for the wall^ I say of course they can. We have a trade deficit with Mexico that's unbelievably big. ... It's billions and billions of dollars -- far more than what we're talking about for the wall.,,,,FALSE
"Under Ted Cruz’s tax plan^ ""businesses will now have to pay 16 percent on the money they make. They will also have to pay 16 percent on the money they pay their employees.""",,,,mostly-true
Says his views on reparations for slavery are the same as Barack Obama's and Hillary Clinton's.,,,,mostly-true
Since John F. Kennedy was assassinated in 1963^ more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars.,,,,TRUE
Anyone can die of a toothache.,,,,TRUE
Almost all of the polls that have come out suggest that I am a much stronger candidate against the Republicans than is Hillary Clinton.,,,,FALSE
In 40 years of broadcast^ I have never endorsed any candidate.,,,,TRUE
Fifty years ago^ the average GM employee could pay for a year of a son or daughter’s college tuition on just two weeks wages.,,,,mostly-true
"Says Cresent Hardy agreed with Mitt Romney ""about the 47 percent"" and said that ""people with disabilities are^ and I quote him^ ‘a drain on society.’ """,,,,half-true
"Martin Luther King Jr. ""was a Republican.""",,,,FALSE
Two million new jobs have been created^ in California since 2011.,,,,TRUE
"Says a Ted Cruz ad has ""got me bull-dozing down a house. I never bulldozed it down. It's false advertising.""",,,,half-true
"Says Donald Trump ""thinks that climate change is a hoax^ invented by the Chinese.""",,,,mostly-true
In reality^ gas produced by fracking is worse for the climate than coal.,,,,half-true
Texas has the sixth-highest property taxes in the nation.,,,,mostly-true
Blue Cross Blue Shield cancelled all their individual (health care) policies in the state of Texas^ effective Dec. 31.,,,,pants-fire
According to the most recent report^ Wisconsin’s high school graduation rates are also up again -- to third best in the country.,,,,mostly-true
"Under Barack Obama^ ""the fewest number of adults are working since Jimmy Carter’s presidency.""",,,,FALSE
Donald Trump is appealing as much to Democrats as he is to Republicans.,,,,pants-fire
"China has ""total control^ just about^ of North Korea.""",,,,barely-true
I have a D-minus voting record from the NRA.,,,,mostly-true
"The United States has a ""record number of abortions year after year after year.""",,,,FALSE
"Says the Democratic Party created a debate schedule ""to maximize the opportunity for voters to see our candidates.""",,,,FALSE
Every piece of legislation^ just about^ that I ever introduced (in the U.S. Senate) had a Republican co-sponsor.,,,,FALSE
"Says his much-discussed boots are ""made in Wisconsin.""",,,,pants-fire
Today^ if you were raised poor^ you’re just as likely to stay poor as you were 50 years ago.,,,,TRUE
"More than 100^000 women in Texas ""have attempted to self-induce abortion in the past year alone.""",,,,FALSE
One in every three women has an abortion during her lifetime.,,,,half-true
Very little of (the defense) budget — less than 10 percent — actually goes into fighting ISIS and international terrorism.,,,,barely-true
I helped write the Affordable Care Act.,,,,barely-true
We now have driven (health care) costs down to the lowest they've been in 50 years.,,,,FALSE
"Says Virginia Del. Mark Cole ""wants schools to check children’s genitals before using bathroom.""",,,,FALSE
"Says Bernie Sanders ""voted for what we call the 'Charleston Loophole.'""",,,,mostly-true
"Says Bernie Sanders ""has reversed his position on immunity"" for gun manufacturers and sellers.",,,,TRUE
"Hostages were released as soon as Ronald Reagan took office because Iran perceived that America was ""no longer under the command of someone weak.""",,,,pants-fire
"Says Hillary Clinton called Barack Obama ""naive"" for saying he was would ""sit down and talk to the Iranians"" during the 2008 Democratic primary.",,,,half-true
"Boston is just 60 minutes away and it’s offering subsidies to developers who can charge higher rent than you can get in Providence while construction costs are more or less equal. As a result^ the Boston skyline ""is completely dominated by the cranes.""",,,,TRUE
In Houston^ Texas^ today^ there are no homeless veterans.,,,,barely-true
"Wisconsin dropped ""from second in the country to 41st"" among states where more than half the students took the ACT exam.",,,,pants-fire
California Senator^ Democratic Senator Dianne Feinstein said if she could say to Mr. America and Mrs. America^ 'Give me your guns^ I'm rounding 'em up^' she would.,,,,FALSE
"Says Sen. Ted Cruz used to be ""in favor of birthright citizenship"" but is now against it.",,,,barely-true
"Says Marco Rubio ""knows full well I voted for his amendment to increase military spending to $697 billion.""",,,,TRUE
"Says President Barack Obama ""appointed Eric Holder as attorney general. Eric Holder said he viewed his mission as brainwashing the American people against guns.""",,,,half-true
I didn’t support Sonia Sotomayor.,,,,FALSE
"Says Hillary Clinton ""is under investigation with the FBI right now.""",,,,half-true
We have the lowest percentage of Americans working today of any year since 1977.,,,,mostly-true
"Among Syrian refugees and migrants coming into Europe^ ""there look like very few women. Very few children.""",,,,FALSE
The United States of America^ right now^ has the strongest^ most durable economy in the world.,,,,mostly-true
"Says Chris Christie ""instituted an Internet sales tax.""",,,,barely-true
"Says Bernie Sanders’ health care plan would ""empower Republican governors to take away Medicaid^ to take away health insurance for low-income and middle-income working Americans.""",,,,barely-true
"Until the new Iran deal^ China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past.""",,,,pants-fire
For the first time ever^ we completely funded the critical needs waiting list so persons with unique abilities can get the help they need.,,,,half-true
As governor of Florida^ I used a combination of strategies to help reduce heroin use among youth in Florida by approximately 50 percent.,,,,half-true
"Every ""one of the mass shootings except two in America since 1950 have been"" in ""gun-free zones.""",,,,half-true
We spend more on our military than the next eight nations combined.,,,,mostly-true
"We've ""lifted high school graduation rates to new highs.""",,,,half-true
"The economy is ""too weak to raise income levels.""",,,,mostly-true
Our businesses have created jobs every single month since (Obamacare) became law.,,,,TRUE
"We have cut ""our deficits by almost three-quarters.""",,,,mostly-true
We have completely turned our economy around.,,,,half-true
"Medicaid expansion ""could cost the Commonwealth of Virginia over $1 billion a year...""",,,,FALSE
We are taking Virginia’s investment in public education to the highest level in the commonwealth’s history.,,,,barely-true
We get practically nothing compared to the cost of keeping U.S. military forces in South Korea.,,,,barely-true
"The five Guantanamo detainees swapped for Bowe Bergdahl are ""back on the battlefield.""",,,,FALSE
Let’s start with the premise that Rhode Island already has one of the 10 strictest [gun laws] amongst all the states.,,,,TRUE
"Under Scott Walker^ Wisconsin ""moved from 16th to third in percentage of people with student loan debt.""",,,,barely-true
When we held recent economic dialogues with China^ we agreed on over 100 different things  —  including wildlife trafficking and volcano research. None of these 100-plus points of agreement addressed cybersecurity.,,,,barely-true
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,,,,mostly-true
"Canadian-born Ted Cruz ""has had a double passport.""",,,,FALSE
A violent felon can buy (a gun) over the Internet with no background check^ no questions asked.,,,,mostly-true
The 90 percent statistic of supporting background checks^ that's been debunked.,,,,FALSE
"A Trump television ad shows Mexicans swarming over ""our southern border.""",,,,pants-fire
"Says Missouri needs a voter I.D. law because ""there’s over 16 people in the state of Missouri who have been convicted of some type of voter fraud.""",,,,half-true
Everywhere that we have more citizens carrying guns^ crime is less. There's a study showing that where states have open carry or concealed carry^ but particularly open carry^ the crime is down 25 percent.,,,,barely-true
Both Cruz and Rubio are missing the vast majority of their votes.,,,,barely-true
Bicycle ownership drops by half while obesity in Rhode Island rises by 154 percent,,,,pants-fire
More than 60 percent of people in America support Planned Parenthood and only 11 percent approve of Congress.,,,,mostly-true
"Guantanamo has ""never been a key component of ISIS or al-Qaida propaganda.""",,,,TRUE
"Says U.S. Rep. Ted Yoho said ""African Americans should only be given three-fifths of a vote.""",,,,pants-fire
By the end of 2015^ more than 1^300 people will have died on Georgia roads. One of out evey four fatalities resulted from drunken driving.,,,,mostly-true
91% of suspected terrorists who attempted to buy guns in America walked away with the weapon they wanted.,,,,mostly-true
Existing law right now requires 700 miles of double-layered border fencing on the Mexico border.,,,,FALSE
"Forty percent of illegal immigrants are ""people coming legally on visas and overstaying their visas.""",,,,mostly-true
Here in Wisconsin^ we've put in previous budgets more money into mental health services than any governor has in the last 25 years.,,,,TRUE
We didn't go out and take information from the Hillary Clinton campaign.,,,,barely-true
The Democrats in the Senate last year introduced a constitutional amendment to repeal the free speech protections of the First Amendment.,,,,barely-true
"Says Bernie Sanders ""voted for regime change with respect to Libya.""",,,,mostly-true
"The only budget Ted Cruz ""ever voted for in his time in the Senate is a budget that cut defense spending by more than Barack Obama proposes we cut it.""",,,,barely-true
"Only nine coalition nations with the U.S. ""are truly actively involved"" in fighting the Islamic State.",,,,mostly-true
"Says the Obama administration invited ""Russia into Syria.""",,,,barely-true
"Says he faced ""a record budget deficit"" in Virginia in 2014.",,,,FALSE
"Wisconsin ""is on pace to double the number of layoffs"" this year.",,,,FALSE
"Says American polling shows Russian President Vladimir Putin has ""an 80 percent approval rating.""",,,,TRUE
"The Affordable Care Act is ""making families pay double-digit premium increases.""",,,,half-true
"The United States spends ""almost three times per capita what they spend in the U.K."" on health care and ""50 percent more than they pay in France.""",,,,TRUE
Secretary Clinton changes her position on (gun issues) every election year^ it seems^ having one position in 2000 and then campaigning against President Obama and saying we don't need federal standards.,,,,half-true
"ISIS is ""going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists.""",,,,FALSE
"Says the Security Against Foreign Enemies Act of 2015 would not ""pause"" the resettlement of Syrian refugees in the United States.",,,,half-true
One of the most troubling aspects of the Rubio-Schumer Gang of Eight bill was that it gave President Obama blanket authority to admit refugees^ including Syrian refugees^ without mandating any background checks whatsoever.,,,,FALSE
Our larger domestic threat is from racial supremacist groups.,,,,FALSE
"Says President Barack Obama ""himself has granted waivers allowing into the United States refugees who provided material support to terrorists.""",,,,barely-true
"Says President Barack Obama’s homeland security budget had ""$16 million to fight climate change"" but ""didn't have a line item to fight violent extremism.""",,,,barely-true
"The 9/11 terrorists' friends^ family^ girlfriends in the United States ""were sent back for the most part to Saudi Arabia. They knew what was going on. They went home^ and they wanted to watch their boyfriends on television.""",,,,FALSE
The Electric Reliability Council of Texas (ERCOT) has estimated that the Obama administration’s Power Plan will cause energy costs in Texas to rise as much as 16 percent per year.,,,,FALSE
If you are going to kill the families of terrorists^ realize that there's something called the Geneva Convention we're going to have to pull out of.,,,,TRUE
"The Milwaukee County bus system has ""among the highest fares in the nation.""",,,,FALSE
Since 2004^ more than 2^000 suspected terrorists have legally purchased weapons in the United States.,,,,mostly-true
"Regarding the USA Freedom Act^ ""There is nothing we are allowed to do under this bill that we could not do before.""",,,,half-true
Recent news reports indicate DWI crashes in Austin dropped 23 percent since ridesharing entered the market.,,,,mostly-true
"Says carpet bombing means bombing ""not a city^ but the location of the troops^"" with ""embedded special forces to direct the air power.""",,,,FALSE
"Says Ted Cruz supports ""legalizing people who are in this country illegally.""",,,,barely-true
One of the things I would immediately do … is bring back the warrior class -- Petraeus^ McChrystal^ Mattis^ Keane^ Flynn. ... Every one was retired early because they told President Obama things that he didn’t want to hear.,,,,barely-true
"Says Marco Rubio ""is the one for an open border.""",,,,pants-fire
Two months ago^ Donald Trump said that ISIS was not our fight.,,,,mostly-true
The head of the FBI has told Congress they cannot vet those (Syrian) refugees.,,,,barely-true
We're practically not allowed to use coal any more. What do we do with our coal? We ship it to China and they spew it in the air.,,,,barely-true
Mike Morell testified and told Congress that the reason Obama has not bombed ISIS' oil fields is they're concerned about global warming.,,,,FALSE
The states have always defined marriage.,,,,half-true
"Three or four countries out of roughly 60 in the anti-ISIS coalition ""are providing military force.""",,,,mostly-true
On a single night in January 2015^ state and local planning agencies in Rhode Island reported the following estimates of homelessness … 107 veterans were homeless.,,,,half-true
David Simpson actually voted for driver's licenses for illegal immigrants.,,,,barely-true
I have always opposed driver's licenses for illegal aliens.,,,,mostly-true
"In 2000^ ""I wrote about Osama bin Laden^ ‘We’ve got to take him out.’""",,,,barely-true
Under conservative leadership^ Congress has reduced the federal deficit by 60 percent – nearly $800 billion.,,,,barely-true
Most of the black scientists in this country don't come from schools like the University of Texas. They come from lesser schools.,,,,half-true
Since 2008^ Gwinnett County’s population has grown 15 percent^ while the county government staff has increased only 1 percent.,,,,TRUE
"Says Marco Rubio said ""we should be considering internment"" of Muslims^ and ""maybe we should close down cafes and diners where Muslims gather and in fact compared them to the Nazi party.""",,,,pants-fire
Up until recently^ 75 percent of all the sorties that left the base came back without dropping their ordnances^ because there was such a concern about making sure that there were no civilian casualties.,,,,mostly-true
"The U.S. ""tax rate on successful small businesses is 44.6 percent^"" while the business tax rate in Canada is 15 percent.",,,,TRUE
"Says 25 percent of U.S. Muslims ""agreed that violence against Americans here in the United States is justified as a part of the global jihad.""",,,,barely-true
"Barack Obama’s Columbia University ID says he was a foreign student and went by ""Barry Soetoro.""",,,,pants-fire
If Trump had just put his father’s money in a mutual fund ... he’d have $8 billion.,,,,FALSE
"In Texas^ ""we've had three ISIS-related incidents already.""",,,,half-true
We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.,,,,mostly-true
In France^ they have a (surveillance) program a thousandfold more invasive than the United States.,,,,mostly-true
Technically^ (Ted Cruz is) not even an American.,,,,pants-fire
"In the weekend after the terrorist attacks in Paris^ the White House said ""this couldn't happen in the United States. ISIS couldn't reach us here.""",,,,FALSE
Since 2008^ we have cut 5^000 positions from Virginia public schools.,,,,TRUE
"A Muslim immigrant in Michigan can list his second^ third or fourth wives as ""extended family"" and qualify for welfare.",,,,barely-true
In almost every other country in the world^ artists and musicians are paid when their music is played on the radio. In fact^ the only countries besides the U.S. who do not have a radio-performance right are China^ Iran and North Korea.,,,,mostly-true
Last year^ I stopped an Obamacare bailout and saved taxpayers $2.5 billion.,,,,barely-true
"From 2010-2014^ median household income in Wisconsin ""has actually gone up 7.4 percent.""",,,,barely-true
There is a federal criminal law that says it's a crime to transport dentures across state lines.,,,,mostly-true
"California has ""robust job growth that outpaces the rest of the nation.""",,,,mostly-true
"The Charleston^ S.C.^ shooter ""should have never been given a gun^ but the universal background check was not fast enough.""",,,,mostly-true
There are over 700^000 Americans on some watch list or another that would all be captured in a Democratic amendment intended to stop suspected terrorists from buying guns.,,,,barely-true
Each vegan spares more than 100 animals every year.,,,,barely-true
"The ""federal government is going after school districts^ trying to force them to let boys shower with little girls.""",,,,FALSE
You go down to Miami and when it's flooding at high tide on a sunny day^ fish are swimming through the middle of the streets.,,,,half-true
"Despite attention on global warming^ ""fewer Americans carpool today to work than carpooled in 1980"" and ""SUVs have never been a larger proportion of the vehicles being sold in this country.""",,,,mostly-true
California has more kids in poverty ... than virtually any other state.,,,,mostly-true
"The Milwaukee County executive can sell the public ""museum^ the airport and the zoo"" -- all on his own^ without County Board approval",,,,mostly-true
Ted Cruz tried to ban contraception five times.,,,,barely-true
15 years ago^ cancer drugs cost an average of $10^000 a year. Now it’s $10^000 a month.,,,,mostly-true
"Probably less than 4 percent of Wisconsin residents ""are enjoying the subsidies"" from Obamacare.",,,,TRUE
The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012.,,,,TRUE
It is already in the law that there is a requirement to screen (refugees) for religion.,,,,mostly-true
"Says there are ""ample means"" to ""tell when someone is a Christian in the Middle East ... by name^ by where they’re born^ their birth certificates.""",,,,half-true
"President Barack Obama ""wants to take in 250^000 (people) from Syria.""",,,,pants-fire
Here’s the simple and undeniable fact: The overwhelming majority of violent criminals are Democrats.,,,,barely-true
The Family Research Council^ according to some government agencies^ is a terrorist group.,,,,FALSE
"Jeb Bush’s plan for Social Security is ""disastrous for seniors and raises the retirement age to 70.""",,,,barely-true
Twenty-five percent of our kids in foster care are there because their parents are involved in drugs.,,,,TRUE
The world food demand is going to double sometime between now and 2070.,,,,TRUE
While the smoking rate nationally has fallen^ more than 18 percent of Georgians still light up.,,,,mostly-true
"Says President Barack Obama ""will not utter the words ‘radical Islamic terrorism’ and as matter of policy^ nobody in the administration will say the words ‘radical Islamic terrorism.’""",,,,TRUE
"Says Thomas Jefferson helped ""craft"" the Constitution.",,,,FALSE
Illegal immigrants mow the grass around the (Texas) Capitol.,,,,FALSE
"Says Russ Feingold ""wanted to get money out of politics. Now he's profiting from that same dark money.""",,,,half-true
Ron Johnson said specifically that he hopes the first steps occur to privatize the Veterans Administration.,,,,half-true
"In 2008^ Maggie Hassan voted against legislation to ""prevent sanctuary cities in New Hampshire.""",,,,mostly-true
More black babies are aborted in NYC than born.,,,,TRUE
"For NATO exercises^ ""we don’t have enough of our own hardware and equipment even for training purposes. So the Brits are spotting us choppers.""",,,,mostly-true
"The United States has ""10^000 IRS agents making sure that you don't take an improper charity deduction^"" but to fight terrorism^ it has ""less than two dozen people focusing on countering violent extremism at home.""",,,,barely-true
Instead of fighting ISIS^ (the Saudis) have focused more on a campaign to oust Iran-backed Houthi rebels in Yemen.,,,,TRUE
Road congestion costs rush hour drivers in Austin and Dallas more than $1^000 a year. And in Houston^ it’s even more -- almost $1^500 a year.,,,,mostly-true
"Oregon’s Umpqua Community College ""where the shooting occurred was a gun-free zone.""",,,,barely-true
"After the Texas cutoff of aid to women’s health care services including Planned Parenthood clinics^ ""over 150^000… women lost the only health care they had. Our Medicaid birth rate shot up. It cost taxpayers over $130 million in one year alone in extra Medicaid birth costs.""",,,,barely-true
The actual (construction) contracts that we’ve awarded to date have come in several hundred million dollars below estimates.,,,,mostly-true
Says President Barack Obama did not invite a Republican senator to dine at the White House until his fifth year in office.,,,,FALSE
59 percent of Americans today believe that Barack Obama is still a Muslim.,,,,FALSE
29 mass shootings have been committed by concealed carriers since 2007^ while during this period only one (1) licensed civilian meaningfully intervened in a mass shooting.,,,,half-true
Says crime statistics show blacks kill 81 percent of white homicide victims.,,,,pants-fire
The Libyan people have voted twice in free and fair elections for the kind of leadership they want.,,,,half-true
I spent 18 months putting together the sanctions against Iran so that we could force them to the negotiating table.,,,,mostly-true
"Since he took office as Milwaukee County executive^ ""we have never raised"" bus fares and ""this year there’ll be a million route-miles more than there were five years ago.""",,,,mostly-true
It costs a hell of a lot more money to put somebody in jail than send them to the University of Virginia.,,,,half-true
We now know these firms are unwilling to put up any private money^ for California's high-speed rail project.,,,,barely-true
"In 2013^ the United States ""accepted 67 percent of the world’s refugees.""",,,,barely-true
I watched in Jersey City^ N.J.^ where thousands and thousands of people were cheering as the World Trade Center collapsed.,,,,pants-fire
This incident of supposed feces depicting a swastika on the wall of a bathrooms in one of the halls ... has been supported by zero fact.,,,,pants-fire
@Jorge_Elorza still think your plan is safe? Rescue Captain Kenyon just worked 96 hours straight. 96 hours.,,,,mostly-true
The vast majority of (Syrian) refugees are young^ able-bodied men looking for work.,,,,FALSE
If we pass immigration reform^ it will make wages go up on average $250 for the average household.,,,,barely-true
8 Syrians caught at Texas border in Laredo.,,,,barely-true
"The federal government is ""making the decision^ whether we like it or not^ to send 425 refugees to our state"" from Syria.",,,,half-true
"The New York Police Department used to have ""surveillance going on in and around mosques in New York City. ... Our mayor totally cut that out.""",,,,half-true
"Wisconsin’s 6th congressional ""district has more manufacturing jobs than almost any other"" in the nation.",,,,TRUE
While Americans pray for Paris^ the government has acted on mandatory national vaccinations.,,,,pants-fire
Taking all the money of the top 1 percent wouldn’t keep Medicare going for three years.,,,,barely-true
"Says David Vitter ""answered a prostitute’s call minutes after he skipped a vote honoring 28 soldiers who gave their lives in defense of our freedom.""",,,,mostly-true
There is currently no ability to vet these people^ referring to Syrian refugees.,,,,barely-true
Forty-five states allow open carry of firearms.,,,,mostly-true
"The federal government is sending refugees to states with governors who are ""Republicans^ not to the Democrats.""",,,,pants-fire
"Says Ted Cruz ""is a supporter of legalizing people that are in this country illegally"" and ""proposed giving them work permits.""",,,,FALSE
"Says a car driving former University of Missouri System President Tim Wolfe ""ran through the students^ hit one of them"" at the MU Homecoming Parade.",,,,barely-true
71% of WI’s roads are in poor or mediocre condition and 14% of WI’s bridges are structurally deficient or functionally obsolete.,,,,mostly-true
The United States (is) the largest provider of humanitarian assistance to displaced persons and refugees.,,,,mostly-true
"In Japan^ ""permanent residency is not given to Muslims^"" the ""propagation of Islam"" is banned^ ""one cannot import a Koran published in the Arabic language^"" and ""Muslims cannot even rent a house.""",,,,pants-fire
Since we last debated in Las Vegas^ nearly 3^000 people have been killed by guns.,,,,half-true
Drinking champagne could help prevent Alzheimer’s and other forms of dementia.,,,,FALSE
"Climate change is ""directly related"" to the growth of terrorism.",,,,barely-true
"Says Hillary Clinton and the Democrats ""admitted there’s one candidate who scares Hillary Clinton^ and that’s Sen. Marco Rubio.""",,,,half-true
When I became governor^ I inherited a large deficit. You know what? We just turned that into the largest surplus in Virginia history.,,,,barely-true
"When President Barack Obama said ISIS^ or ISIL^ was contained^ he ""was responding very specifically to the geographic expansion of ISIL in Iraq and Syria.""",,,,TRUE
It takes almost a year for a refugee to be processed in the United States.,,,,mostly-true
